ID	Class	Text
0	pks	ACP ACP KS AT ACP ACP ACP AT ACP
1	pks	AT AT ACP ACP KS AT ACP AT ACP KS KS KS ACP AT ACP ACP AT AT ACP
2	pks	KS KS ACP KS KS ACP ACP ACP ACP ACP KS
3	pks	KS KS AT KS ACP ACP KS AT AT ACP AT KS AT AT AT KS KS KS KS KS ACP ACP ACP KS KS KS AT KS KS AT ACP ACP KS ACP ACP KS ACP AT KS
4	pks	AT KS KS ACP ACP AT AT AT AT ACP KS KS ACP KS KS KS AT ACP KS KS ACP AT KS ACP KS AT AT ACP KS ACP AT AT
5	pks	AT ACP AT AT KS AT ACP ACP KS ACP
6	pks	KS ACP AT KS ACP KS
7	pks	ACP KS AT KS ACP AT KS AT AT ACP KS ACP ACP KS ACP KS AT KS KS AT AT KS ACP KS KS AT AT KS KS AT ACP KS KS ACP ACP ACP AT
8	pks	AT AT KS ACP ACP ACP
9	pks	ACP AT AT ACP AT ACP AT KS ACP AT ACP KS AT
10	pks	ACP ACP AT KS ACP AT KS AT KS
11	pks	ACP ACP KS AT KS KS ACP ACP ACP KS AT ACP AT KS KS AT AT KS ACP ACP KS AT AT AT AT AT KS KS KS
12	pks	KS AT AT KS ACP KS KS KS AT KS KS ACP KS KS AT ACP ACP ACP ACP AT AT AT KS KS KS AT AT ACP KS KS KS ACP
13	pks	AT AT AT ACP ACP KS ACP ACP AT AT ACP AT ACP
14	pks	AT ACP AT AT ACP ACP AT KS KS ACP ACP ACP AT KS AT KS ACP
15	pks	AT KS KS AT ACP KS AT AT AT AT KS AT AT KS ACP KS AT AT KS ACP ACP AT KS KS ACP KS ACP ACP ACP KS KS ACP KS AT ACP
16	pks	KS AT AT KS KS AT AT KS AT AT KS KS AT AT ACP ACP ACP KS AT ACP AT AT KS KS KS ACP ACP
17	pks	AT KS KS AT ACP ACP KS KS ACP ACP ACP ACP ACP AT KS ACP AT KS ACP AT KS AT KS AT
18	pks	AT AT ACP AT AT ACP ACP KS KS KS AT AT AT KS KS ACP AT KS AT AT KS KS KS KS ACP KS
19	pks	AT ACP KS ACP ACP KS KS KS KS ACP AT ACP KS
20	pks	ACP AT ACP ACP ACP KS AT AT KS AT AT KS AT KS AT AT KS AT ACP AT ACP ACP AT AT ACP
21	pks	AT KS ACP KS ACP KS AT ACP ACP AT KS ACP KS AT ACP ACP KS ACP AT KS ACP AT AT ACP AT ACP KS AT AT ACP KS AT AT
22	pks	AT KS AT ACP AT ACP ACP AT KS ACP KS AT AT KS AT KS ACP ACP ACP ACP KS AT KS ACP ACP AT AT KS AT ACP AT ACP KS ACP
23	pks	KS ACP KS KS AT AT KS AT AT KS AT KS
24	pks	KS KS KS ACP KS
25	pks	ACP AT ACP AT KS ACP KS AT ACP AT ACP AT ACP AT KS ACP AT ACP ACP KS AT KS ACP ACP KS ACP KS KS AT KS AT ACP KS ACP KS AT AT ACP
26	pks	KS AT ACP ACP AT AT KS KS ACP KS KS KS AT AT ACP KS AT KS ACP KS KS ACP KS ACP KS KS ACP
27	pks	ACP ACP KS AT AT AT AT ACP AT KS KS ACP AT ACP KS KS ACP AT AT AT KS ACP ACP AT KS ACP ACP ACP ACP KS AT AT KS
28	pks	KS ACP KS ACP AT
29	pks	KS AT ACP ACP KS AT AT KS
30	pks	KS AT AT AT ACP KS KS ACP AT AT ACP ACP AT AT ACP AT ACP KS AT KS KS AT AT KS AT ACP AT AT KS ACP AT KS KS AT ACP KS AT
31	pks	AT ACP AT KS AT
32	pks	KS AT KS ACP KS KS ACP ACP ACP AT KS
